objectid,filename,title,date,candidate,description,subject,size,identifier,digitizationdate,type,format,language,creator,source,rights,rightsstatement
coll001,b2195201.jpg,"Ike and Dick, Sure To Click",1952,"Eisenhower, Dwight D. (R); Nixon, Richard M. (R)","Red, white, and blue button with grayscale headshots of Dwight D. Eisenhower and Richard M. Nixon in the middle and centered. At the top is a blue band with white text ""Ike and Dick"". Along the bottom there is a red band with the white text ""Sure to Click""","1952 Presidential Election; Eisenhower, Dwight D. (1890-1969); Nixon, Richard M. (1913-1994)",8.6 cm x 8.6 cm x 0.5 cm,B2-1952-01,2021-11,Image;StillImage,image/jpeg,eng,,,,
coll002,b2196001.jpg,John F. Kennedy For President,1960,"Kennedy, John F. (D)","Red, white, and blue button with a grayscale headshot of John F. Kennedy in the middle and centered. At the top is red text reading ""For President"". Along the bottom there is a blue band with the white text ""John F. Kennedy""","1960 Presidential Election; Kennedy, John F. (1917-1963)",8.7 cm x 8.7 cm x 0.5 cm,B2-1960-01,2021-11,Image;StillImage,image/jpeg,eng,,,,
coll003,b2196002.jpg,"Kennedy Johnson, America's Men For the '60s",1960,"Kennedy, John F. (D); Johnson, Lyndon B. (D)","Red, white, and blue button with grayscale headshots of John F. Kennedy and Lyndon B. Johnson in the middle and centered. At the top is a red section with white text reading ""Kennedy Johnson"". Along the bottom there is a blue band with the white text ""America's Men For The '60s""","1960 Presidential Election; Kennedy, John F. (1917-1963); Johnson, Lyndon B. (1908-1973)",10 cm x 10 cm x 0.5 cm,B2-1960-02,2021-11,Image;StillImage,image/jpeg,eng,,,,
coll004,b2196003.jpg,"I Told You So, Our 35th President",1960,"Kennedy, John F. (D)","White button with bluescale headshot of John F. Kennedy in the top left corner with small blue text underneath reading ""Our 35th President"". At the top right is a bluescale image of the Capitol. Red text largely reads ""I Told You So"" ","1960 Presidential Election; Kennedy, John F. (1917-1963)",8.5 cm x 8.5 cm x 0.4 cm,B2-1960-03,2021-11,Image;StillImage,image/jpeg,eng,,,,
coll005,b2197601.jpg,"The Grin Will Win, Carter For President",1976,"Carter, Jimmy (D)","Green button with a large yellow peanut in the center containing Carter's grin in cartoon form and the text ""Jimmy in '76"" on both sides of the peanut. White text along the top reads ""The Grin Will Win"", and white text along the bottom reads ""Carter For President""","1976 Presidential Election; Carter, Jimmy (1924- )",8.7 cm x 8.7 cm x 0.5 cm,B2-1976-01,2021-11,Image;StillImage,image/jpeg,eng,,,,
coll006,b2198101.jpg,"Ronald Reagan Our 40th President, Inauguration - Jan. 20, 1981",1981,"Reagan, Ronald (R)","Red, white, and blue button with a grayscale headshot of Ronald Reagan in the middle and centered with two republican elephants on either side. At the top is a red section with white text reading ""Inauguration - Jan. 20, 1981"". Along the bottom there is a blue band with the white text ""Ronald Reagan Our 40th President""","Inauguration; 1980 Presidential Election; Reagan, Ronald (1911-2004)",8.8 cm x 8.8 cm x 0.6 cm,B2-1981-01,2021-11,Image;StillImage,image/jpeg,eng,,,,
coll007,b1196401.jpg,Democrats Winning Key Johnson & Humphrey,1964,"Johnson, Lyndon B. (D); Humphrey, Hubert (D)","Red, white, and blue button with bluescale headshots of Lyndon B. Johnson and Hubert Humphrey in the middle and centered. At the top is a blue band with white text ""Democrats Winning Key"" and a key to the left of it. Along the bottom there is a red band with the white text ""Johnson & Humphrey""","1964 Presidential Election; Johnson, Lyndon B. (1908-1973); Humphrey, Hubert H. (1911-1978)",5.1 cm x 7.2 cm x 0.4 cm,B1-1964-01,2021-11,Image;StillImage,image/jpeg,eng,,,,
coll008,b1196402.jpg,Johnson For President,1964,"Johnson, Lyndon B. (D)","Red and white button with a bluescale headshot of Lyndon B. Johnson in the center. At the top and bottom is white text reading ""Johnson for President""","1964 Presidential Election; Johnson, Lyndon B. (1908-1973)",5.6 cm x 5.6 cm x 0.4 cm,B1-1964-02,2021-11,Image;StillImage,image/jpeg,eng,,,,
coll009,b1196801.jpg,Nixon's The One!,1968,"Nixon, Richard M. (R)","White button with red text reading ""Nixon's The One!""","1968 Presidential Election; Nixon, Richard M. (1913-1994)",2.9 cm x 2.9 cm x 0.3 cm,B1-1968-01,2021-11,Image;StillImage,image/jpeg,eng,,,,
coll010,b1196802.jpg,Vote for Our Next President Robert F. Kennedy,1968,"Kennedy, Robert F. (D)","Red, blue, and white button with a bluescale headshot of Robert F. Kennedy in the center. At the top is white text on a red section reading ""Vote for our next President"". At the bottom is white text on a blue section reading ""Robert F. Kennedy""","1968 Presidential Election; Kennedy, Robert. F (1925-1968)",5.5 cm x 5.5 cm x 0.3 cm,B1-1968-02,2021-11,Image;StillImage,image/jpeg,eng,,,,
coll011,b1196803.jpg,RFK,1968,"Kennedy, Robert F. (D)","Red and blue button with ""RFK"" in white text.","1968 Presidential Election; Kennedy, Robert. F (1925-1968)",3.1 cm x 3.1 cm x 0.2 cm,B1-1968-03,2021-11,Image;StillImage,image/jpeg,eng,,,,
